//from,to,min,max,units,range,IO1,IO2,test method,precision
name=CLT
meter sn=118240
daq sn=13FC757
mode=auto
pn=41210-201
P6-1,P1-47,NA,1.0,Ohms,MIN,12.10000000,NONE,resistance,3
P6-2,P1-48,NA,1.0,Ohms,MIN,9.01000000,NONE,resistance,3
P6-3,P1-49,NA,1.0,Ohms,MIN,12.01000000,NONE,resistance,3
P6-3,P1-30,NA,1.0,Ohms,MIN,12.00100000,NONE,resistance,3
P6-3,P1-31,NA,1.0,Ohms,MIN,12.00100000,NONE,resistance,3
P6-3,P1-21,NA,1.0,Ohms,MIN,12.01000000,NONE,resistance,3
P6-4,P1-50,NA,1.0,Ohms,MIN,9.00010000,NONE,resistance,3
P6-5,P1-15,NA,1.0,Ohms,MIN,12.00001000,NONE,resistance,3
P6-6,P1-16,NA,1.0,Ohms,MIN,9.00001000,NONE,resistance,3
P6-7,P6-8,NA,1.0,Ohms,MIN,12.00001000,NONE,resistance,3
P6-9,P1-27,NA,1.0,Ohms,MIN,9.00000100,NONE,resistance,3
P6-16,P1-26,NA,1.0,Ohms,MIN,12.00000100,NONE,resistance,3
P6-10,P1-20,NA,1.0,Ohms,MIN,9.00000010,NONE,resistance,3
P6-11,P1-40,NA,1.0,Ohms,MIN,12.00000010,NONE,resistance,3
P6-12,P1-41,NA,1.0,Ohms,MIN,9.00000001,NONE,resistance,3
P6-13,P1-42,NA,1.0,Ohms,MIN,12.00000001,NONE,resistance,3
P6-14,P1-43,NA,1.0,Ohms,MIN,8.10000000,NONE,resistance,3
P6-15,P1-25,NA,1.0,Ohms,MIN,11.10000000,NONE,resistance,3
P6-17,P1-17,NA,1.0,Ohms,MIN,8.01000000,NONE,resistance,3
P6-18,P1-18,NA,1.0,Ohms,MIN,11.01000000,NONE,resistance,3
P6-19,P1-29,NA,1.0,Ohms,MIN,8.00100000,NONE,resistance,3
P6-20,P6-21,NA,1.0,Ohms,MIN,11.00100000,NONE,resistance,3
P6-22,P1-32,NA,1.0,Ohms,MIN,8.00010000,NONE,resistance,3
P6-23,P1-33,NA,1.0,Ohms,MIN,11.00010000,NONE,resistance,3
P6-24,P1-34,NA,1.0,Ohms,MIN,8.00001000,NONE,resistance,3
P6-25,P1-35,NA,1.0,Ohms,MIN,11.00001000,NONE,resistance,3
P1-37,P1-39,OPEN,NA,Ohms,MAX,2.00000010,NONE,resistance,3
P1-37,P1-39,NA,1.0,Ohms,MIN,2.00000010,9.10000000,resistance,3
P1-37,P1-38,NA,1.0,Ohms,MIN,5.00000010,NONE,resistance,3
P1-37,P1-38,OPEN,NA,Ohms,MAX,5.00000010,9.10000000,resistance,3
J3-A,J3-B,NA,1.0,Ohms,MIN,2.00000100,NONE,resistance,3
J3-A,J3-B,OPEN,NA,Ohms,MAX,2.00000100,9.10000000,resistance,3
J3-A,P1-55,NA,1.0,Ohms,MIN,5.00000100,NONE,resistance,3
J3-A,P1-55,OPEN,NA,Ohms,MAX,5.00000100,9.10000000,resistance,3
J3-A,P1-54,OPEN,NA,Ohms,MAX,2.00001000,NONE,resistance,3
J3-A,P1-54,NA,1,Ohms,MIN,2.00001000,9.10000000,resistance,3
J3-B,P1-55,NA,1,Ohms,MIN,5.00001000,NONE,resistance,3
P1-52,P1-53,7,14,Ohms,MIN,2.00010000,NONE,resistance,3
J3-C,J3-D,NA,1,Ohms,MIN,5.00010000,NONE,resistance,3
P1 SHIELD,P6 SHIELD,NA,1,Ohms,MIN,11.00000001,NONE,resistance,3
